Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Brooks	Mo		P	AL05	2019	4/1/2019	20011369
Hon.	Brooks	Mo		P	AL05	2019	5/11/2019	20011659
Hon.	Brooks	Mo		P	AL05	2019	5/20/2019	20011708
Hon.	Brooks	Mo		P	AL05	2019	8/6/2019	20012115
Hon.	Brooks	Mo		P	AL05	2019	9/20/2019	20012346
Hon.	Brooks	Mo		P	AL05	2019	10/30/2019	20012524
Hon.	Brooks	Mo		X	AL05	2019	4/15/2020	30008687
Hon.	Brooks	Susan W.		O	IN05	2019	8/13/2020	10037289
Hon.	Brooks	Susan W.		P	IN05	2019	6/25/2019	20011878
Hon.	Brooks	Susan W.		P	IN05	2019	10/21/2019	20012473
Hon.	Brooks	Susan W.		X	IN05	2019	4/15/2020	30008689
Hon.	Brown	Anthony		O	MD04	2019	4/18/2020	10034896
Hon.	Brown	Anthony		X	MD04	2019	4/15/2020	30008690
	Brown	Audra Lee		C	NM03	2019	8/1/2019	10028902
	Brown	Audra Lee		X	NM03	2019	8/7/2019	30006072
	Brown	Carole Dominguin		C	MD03	2019	8/19/2019	10029191
Mr.	Brown	David Wilson		C	NC10	2019	5/19/2019	10028101
Mr.	Brown	Jeremy Michael		D	FL14	2019	6/13/2019	40001552
	Brown	Leigh Thomas		C	NC09	2019	4/13/2019	10025440
Mrs.	Brown-Fietkau	Wyndi Lee		D	OK04	2019	10/2/2019	9115456
	Browning	Dean Napier		C	PA15	2019	5/15/2019	10025121
Hon.	Brownley	Julia		A	CA26	2019	8/4/2021	10041081
Hon.	Brownley	Julia		O	CA26	2019	7/30/2020	10036500
Hon.	Brownley	Julia		X	CA26	2019	4/15/2020	30008698
	Bryant	Shelia		C	MD04	2019	8/2/2019	10028912
	Brzozowski	Dani		C	IL16	2019	1/11/2020	10029525
	Brzozowski	Dani		X	IL16	2019	10/2/2019	30006164
	Bubser	Christine		C	CA08	2019	8/12/2019	10027963
	Bubser	Christine		X	CA08	2019	5/20/2019	30005783
